,train,val,test
0,7535d9c1-b122-49d1-a27e-4367cb530025,00006344,00006350
1,00006327,00006345,00006351
2,00006328,EE-1,00006352
3,00006329,EE-2,00006353
4,00006330,EE-3,N-1
5,00006331,ef0e94db-90df-48ae-b2aa-72607815ce6a,1.70258E+12
6,00006332,1.70258E+12,1.70258E+12
7,00006333,00006322,H-1
8,00006334,00006323,H-2
9,00006335,00006324,H-3
10,00006336,missing1,H-4
11,00006337,F-1,448746e0-e43f-446c-8017-2148bda88d92
12,00006338,F-2,BB-1
13,00006339,F-3,BB-2
14,00006340,F-4,BB-3
15,00006315,F-5,BB-4
16,00006316,00006359,BB-5
17,00006317,00006360,a4de35f1-b557-417a-a5d4-efc3334a628c
18,00006318,G-1,00006363
19,00006341,G-2,00006364
20,00006342,G-3,
21,00006343,G-4,
22,00006404,G-5,
23,00006405,,
24,00006406,,
25,00006346,,
26,00006347,,
27,00006319,,
28,00006320,,
29,00006321,,
30,00006348,,
31,00006349,,
32,00006354,,
33,00006355,,
34,00006356,,
35,00006357,,
36,00006358,,
37,00006325,,
38,00006326,,
39,I-1,,
40,I-2,,
41,I-3,,
42,I-4,,
43,J-1,,
44,J-2,,
45,J-3,,
46,J-4,,
47,J-5,,
48,J-6,,
49,J-7,,
50,J-8,,
51,J-9,,
52,D-1,,
53,L-1,,
54,L-2,,
55,L-3,,
56,M-1,,
57,M-2,,
58,M-3,,
59,M-4,,
60,M-5,,
61,P-1,,
62,P-2,,
63,P-3,,
64,P-4,,
65,P-5,,
66,P-6,,
67,Q-1,,
68,Q-2,,
69,Q-3,,
70,Q-4,,
71,Q-5,,
72,Q-6,,
73,Q-7,,
74,R-2,,
75,R-3,,
76,R-4,,
77,R-5,,
78,R-6,,
79,R-7,,
80,R-8,,
81,U-1,,
82,U-2,,
83,U-3,,
84,U-4,,
85,U-6,,
86,U-7,,
87,V-1,,
88,V-2,,
89,V-3,,
90,V-4,,
91,V-5,,
92,V-6,,
93,V-7,,
94,X-1,,
95,X-2,,
96,X-3,,
97,X-4,,
98,X-5,,
99,X-6,,
100,Z-1,,
101,Z-2,,
102,Z-3,,
103,Z-4,,
104,Z-5,,
105,Z-6,,
106,Z-7,,
107,CC-1,,
108,CC-2,,
109,CC-3,,
110,CC-4,,
111,CC-5,,
112,A-1,,
113,(A1),,
114,1D),,
115,(A1),,
116,(B1),,
117,(A1-1),,
118,GG-1,,
119,GG-2,,
120,1.70258E+12,,
121,1.70258E+12,,
122,1.70258E+12,,
123,1.70258E+12,,
124,1.70258E+12,,
125,1.70258E+12,,
126,1.70258E+12,,
127,1.70258E+12,,
128,1.70258E+12,,
129,b8b4ea17-dcd4-40d9-a829-99179b05f9a2,,
130,ee1ab5b7-a967-4380-8403-8e8f1a56a100,,
131,3be35919-9ab1-4f62-bdec-18d98d82efa6,,
132,8384f1ea-6fad-4fdc-97b7-1f305fbea16a,,
133,00006378,,
134,00006379,,
135,00006380,,
136,00006381,,
137,00006382,,
138,00006383,,
139,00006384,,
140,00006385,,
141,00006386,,
142,00006387,,
143,00006388,,
144,00006389,,
145,00006390,,
146,00006391,,
147,00006392,,
148,00006393,,
149,00006394,,
150,00006395,,
151,00006396,,
152,00006397,,
153,00006361,,
154,00006362,,
155,00006398,,
156,00006399,,
157,00006400,,
158,00006401,,
159,00006402,,
160,00006403,,
161,00006365,,
162,00006366,,
163,00006367,,
164,00006368,,
165,00006369,,
166,00006370,,
167,00006371,,
168,00006372,,
169,00006373,,
170,00006374,,
171,00006375,,
172,00006376,,
173,00006377,,
174,missing2,,
175,B-1,,
176,B-2,,
177,B-3,,
178,B-4,,
179,E-1,,
180,E-2,,
181,E-3,,
182,E-4,,
183,C-1,,
184,C-10,,
185,C-2,,
186,C-3,,
187,C-4,,
188,C-5,,
189,C-6,,
190,C-7,,
191,C-8,,
192,C-9,,
193,K-1,,
194,O-1,,
195,O-4,,
196,S-1,,
197,S-2,,
198,S-3,,
199,S-4,,
200,S-5,,
201,S-6,,
202,S-7,,
203,S-8,,
204,S-9,,
205,T-1,,
206,T-2,,
207,T-3,,
208,T-4,,
209,W-1,,
210,W-2,,
211,W-3,,
212,W-4,,
213,W-5,,
214,Y-1,,
215,AA-1,,
216,DD-1,,
217,FF-1,,
218,FF-2,,
219,FF-3,,
220,FF-4,,
221,FF-5,,
222,(A1-3),,
