,train,val,test
0,7535d9c1-b122-49d1-a27e-4367cb530025,00006348,00006404
1,00006327,00006349,00006405
2,00006328,Z-1,00006406
3,00006329,Z-2,00006350
4,00006330,Z-3,00006351
5,00006331,Z-4,00006352
6,00006332,Z-5,00006353
7,00006333,Z-6,U-1
8,00006334,Z-7,U-2
9,00006335,M-1,U-3
10,00006336,M-2,U-4
11,00006337,M-3,U-6
12,00006338,M-4,U-7
13,00006339,M-5,H-1
14,00006340,1.70258E+12,H-2
15,00006315,1.70258E+12,H-3
16,00006316,S-1,H-4
17,00006317,S-2,J-1
18,00006318,S-3,J-2
19,00006341,S-4,J-3
20,00006342,S-5,J-4
21,00006343,S-6,J-5
22,00006344,S-7,J-6
23,00006345,S-8,J-7
24,00006346,S-9,J-8
25,00006347,448746e0-e43f-446c-8017-2148bda88d92,J-9
26,00006319,00006382,00006361
27,00006320,00006383,00006362
28,00006321,00006384,missing1
29,00006354,00006389,00006385
30,00006355,00006390,00006386
31,00006356,,8384f1ea-6fad-4fdc-97b7-1f305fbea16a
32,00006357,,
33,00006358,,
34,00006322,,
35,00006323,,
36,00006324,,
37,00006325,,
38,00006326,,
39,I-1,,
40,I-2,,
41,I-3,,
42,I-4,,
43,D-1,,
44,L-1,,
45,L-2,,
46,L-3,,
47,P-1,,
48,P-2,,
49,P-3,,
50,P-4,,
51,P-5,,
52,P-6,,
53,Q-1,,
54,Q-2,,
55,Q-3,,
56,Q-4,,
57,Q-5,,
58,Q-6,,
59,Q-7,,
60,R-2,,
61,R-3,,
62,R-4,,
63,R-5,,
64,R-6,,
65,R-7,,
66,R-8,,
67,N-1,,
68,V-1,,
69,V-2,,
70,V-3,,
71,V-4,,
72,V-5,,
73,V-6,,
74,V-7,,
75,X-1,,
76,X-2,,
77,X-3,,
78,X-4,,
79,X-5,,
80,X-6,,
81,CC-1,,
82,CC-2,,
83,CC-3,,
84,CC-4,,
85,CC-5,,
86,A-1,,
87,EE-1,,
88,EE-2,,
89,EE-3,,
90,(A1),,
91,1D),,
92,(A1),,
93,(B1),,
94,(A1-1),,
95,GG-1,,
96,GG-2,,
97,1.70258E+12,,
98,1.70258E+12,,
99,1.70258E+12,,
100,1.70258E+12,,
101,1.70258E+12,,
102,1.70258E+12,,
103,1.70258E+12,,
104,1.70258E+12,,
105,1.70258E+12,,
106,1.70258E+12,,
107,b8b4ea17-dcd4-40d9-a829-99179b05f9a2,,
108,ee1ab5b7-a967-4380-8403-8e8f1a56a100,,
109,ef0e94db-90df-48ae-b2aa-72607815ce6a,,
110,3be35919-9ab1-4f62-bdec-18d98d82efa6,,
111,00006359,,
112,00006360,,
113,00006378,,
114,00006379,,
115,00006380,,
116,00006381,,
117,00006387,,
118,00006388,,
119,00006391,,
120,00006392,,
121,00006393,,
122,00006394,,
123,00006395,,
124,00006396,,
125,00006397,,
126,00006398,,
127,00006399,,
128,00006400,,
129,00006401,,
130,00006402,,
131,00006403,,
132,00006363,,
133,00006364,,
134,00006365,,
135,00006366,,
136,00006367,,
137,00006368,,
138,00006369,,
139,00006370,,
140,00006371,,
141,00006372,,
142,00006373,,
143,00006374,,
144,00006375,,
145,00006376,,
146,00006377,,
147,missing2,,
148,B-1,,
149,B-2,,
150,B-3,,
151,B-4,,
152,E-1,,
153,E-2,,
154,E-3,,
155,E-4,,
156,F-1,,
157,F-2,,
158,F-3,,
159,F-4,,
160,F-5,,
161,G-1,,
162,G-2,,
163,G-3,,
164,G-4,,
165,G-5,,
166,C-1,,
167,C-10,,
168,C-2,,
169,C-3,,
170,C-4,,
171,C-5,,
172,C-6,,
173,C-7,,
174,C-8,,
175,C-9,,
176,K-1,,
177,O-1,,
178,O-4,,
179,T-1,,
180,T-2,,
181,T-3,,
182,T-4,,
183,W-1,,
184,W-2,,
185,W-3,,
186,W-4,,
187,W-5,,
188,Y-1,,
189,AA-1,,
190,BB-1,,
191,BB-2,,
192,BB-3,,
193,BB-4,,
194,BB-5,,
195,DD-1,,
196,FF-1,,
197,FF-2,,
198,FF-3,,
199,FF-4,,
200,FF-5,,
201,(A1-3),,
202,a4de35f1-b557-417a-a5d4-efc3334a628c,,
