,train,val,test
0,7535d9c1-b122-49d1-a27e-4367cb530025,00006325,00006327
1,00006331,00006326,00006328
2,00006332,1.70258E+12,00006329
3,00006333,GG-1,00006330
4,00006334,GG-2,00006344
5,00006335,P-1,00006345
6,00006336,P-2,H-1
7,00006337,P-3,H-2
8,00006338,P-4,H-3
9,00006339,P-5,H-4
10,00006340,P-6,00006354
11,00006315,M-1,00006355
12,00006316,M-2,00006356
13,00006317,M-3,00006357
14,00006318,M-4,00006358
15,00006341,M-5,1.70258E+12
16,00006342,W-1,00006400
17,00006343,W-2,00006401
18,00006404,W-3,00006402
19,00006405,W-4,00006403
20,00006406,W-5,00006359
21,00006346,00006375,00006360
22,00006347,00006376,00006385
23,00006319,00006377,00006386
24,00006320,F-1,00006393
25,00006321,F-2,00006394
26,00006348,F-3,
27,00006349,F-4,
28,00006350,F-5,
29,00006351,K-1,
30,00006352,,
31,00006353,,
32,00006322,,
33,00006323,,
34,00006324,,
35,I-1,,
36,I-2,,
37,I-3,,
38,I-4,,
39,J-1,,
40,J-2,,
41,J-3,,
42,J-4,,
43,J-5,,
44,J-6,,
45,J-7,,
46,J-8,,
47,J-9,,
48,D-1,,
49,L-1,,
50,L-2,,
51,L-3,,
52,Q-1,,
53,Q-2,,
54,Q-3,,
55,Q-4,,
56,Q-5,,
57,Q-6,,
58,Q-7,,
59,R-2,,
60,R-3,,
61,R-4,,
62,R-5,,
63,R-6,,
64,R-7,,
65,R-8,,
66,N-1,,
67,U-1,,
68,U-2,,
69,U-3,,
70,U-4,,
71,U-6,,
72,U-7,,
73,V-1,,
74,V-2,,
75,V-3,,
76,V-4,,
77,V-5,,
78,V-6,,
79,V-7,,
80,X-1,,
81,X-2,,
82,X-3,,
83,X-4,,
84,X-5,,
85,X-6,,
86,Z-1,,
87,Z-2,,
88,Z-3,,
89,Z-4,,
90,Z-5,,
91,Z-6,,
92,Z-7,,
93,CC-1,,
94,CC-2,,
95,CC-3,,
96,CC-4,,
97,CC-5,,
98,A-1,,
99,EE-1,,
100,EE-2,,
101,EE-3,,
102,(A1),,
103,1D),,
104,(A1),,
105,(B1),,
106,(A1-1),,
107,1.70258E+12,,
108,1.70258E+12,,
109,1.70258E+12,,
110,1.70258E+12,,
111,1.70258E+12,,
112,1.70258E+12,,
113,1.70258E+12,,
114,1.70258E+12,,
115,1.70258E+12,,
116,1.70258E+12,,
117,b8b4ea17-dcd4-40d9-a829-99179b05f9a2,,
118,ee1ab5b7-a967-4380-8403-8e8f1a56a100,,
119,ef0e94db-90df-48ae-b2aa-72607815ce6a,,
120,3be35919-9ab1-4f62-bdec-18d98d82efa6,,
121,448746e0-e43f-446c-8017-2148bda88d92,,
122,8384f1ea-6fad-4fdc-97b7-1f305fbea16a,,
123,00006378,,
124,00006379,,
125,00006380,,
126,00006381,,
127,00006382,,
128,00006383,,
129,00006384,,
130,00006387,,
131,00006388,,
132,00006389,,
133,00006390,,
134,00006391,,
135,00006392,,
136,00006395,,
137,00006396,,
138,00006397,,
139,00006361,,
140,00006362,,
141,00006398,,
142,00006399,,
143,00006363,,
144,00006364,,
145,00006365,,
146,00006366,,
147,00006367,,
148,00006368,,
149,00006369,,
150,00006370,,
151,00006371,,
152,00006372,,
153,00006373,,
154,00006374,,
155,missing1,,
156,missing2,,
157,B-1,,
158,B-2,,
159,B-3,,
160,B-4,,
161,E-1,,
162,E-2,,
163,E-3,,
164,E-4,,
165,G-1,,
166,G-2,,
167,G-3,,
168,G-4,,
169,G-5,,
170,C-1,,
171,C-10,,
172,C-2,,
173,C-3,,
174,C-4,,
175,C-5,,
176,C-6,,
177,C-7,,
178,C-8,,
179,C-9,,
180,O-1,,
181,O-4,,
182,S-1,,
183,S-2,,
184,S-3,,
185,S-4,,
186,S-5,,
187,S-6,,
188,S-7,,
189,S-8,,
190,S-9,,
191,T-1,,
192,T-2,,
193,T-3,,
194,T-4,,
195,Y-1,,
196,AA-1,,
197,BB-1,,
198,BB-2,,
199,BB-3,,
200,BB-4,,
201,BB-5,,
202,DD-1,,
203,FF-1,,
204,FF-2,,
205,FF-3,,
206,FF-4,,
207,FF-5,,
208,(A1-3),,
209,a4de35f1-b557-417a-a5d4-efc3334a628c,,
