,train,val,test
7535d9c1-b122-49d1-a27e-4367cb530025,True,False,False
00006327,True,False,False
00006328,True,False,False
00006329,True,False,False
00006330,True,False,False
00006333,True,False,False
00006334,True,False,False
00006335,True,False,False
00006336,True,False,False
00006337,True,False,False
00006338,True,False,False
00006339,True,False,False
00006340,True,False,False
00006315,True,False,False
00006316,True,False,False
00006317,True,False,False
00006318,True,False,False
00006341,True,False,False
00006342,True,False,False
00006343,True,False,False
00006344,True,False,False
00006345,True,False,False
00006404,True,False,False
00006405,True,False,False
00006406,True,False,False
00006346,True,False,False
00006347,True,False,False
00006319,True,False,False
00006320,True,False,False
00006321,True,False,False
00006348,True,False,False
00006349,True,False,False
00006350,True,False,False
00006351,True,False,False
00006352,True,False,False
00006353,True,False,False
00006354,True,False,False
00006355,True,False,False
00006356,True,False,False
00006357,True,False,False
00006358,True,False,False
00006325,True,False,False
00006326,True,False,False
H-1,True,False,False
H-2,True,False,False
H-3,True,False,False
H-4,True,False,False
I-1,True,False,False
I-2,True,False,False
I-3,True,False,False
I-4,True,False,False
J-1,True,False,False
J-2,True,False,False
J-3,True,False,False
J-4,True,False,False
J-5,True,False,False
J-6,True,False,False
J-7,True,False,False
J-8,True,False,False
J-9,True,False,False
D-1,True,False,False
M-1,True,False,False
M-2,True,False,False
M-3,True,False,False
M-4,True,False,False
M-5,True,False,False
P-1,True,False,False
P-2,True,False,False
P-3,True,False,False
P-4,True,False,False
P-5,True,False,False
P-6,True,False,False
Q-1,True,False,False
Q-2,True,False,False
Q-3,True,False,False
Q-4,True,False,False
Q-5,True,False,False
Q-6,True,False,False
Q-7,True,False,False
R-2,True,False,False
R-3,True,False,False
R-4,True,False,False
R-5,True,False,False
R-6,True,False,False
R-7,True,False,False
R-8,True,False,False
N-1,True,False,False
U-1,True,False,False
U-2,True,False,False
U-3,True,False,False
U-4,True,False,False
U-6,True,False,False
U-7,True,False,False
EE-1,True,False,False
EE-2,True,False,False
EE-3,True,False,False
(A1),True,False,False
1D),True,False,False
(A1-1),True,False,False
GG-1,True,False,False
GG-2,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
1.70258E+12,True,False,False
b8b4ea17-dcd4-40d9-a829-99179b05f9a2,True,False,False
ef0e94db-90df-48ae-b2aa-72607815ce6a,True,False,False
3be35919-9ab1-4f62-bdec-18d98d82efa6,True,False,False
448746e0-e43f-446c-8017-2148bda88d92,True,False,False
8384f1ea-6fad-4fdc-97b7-1f305fbea16a,True,False,False
00006385,True,False,False
00006386,True,False,False
00006387,True,False,False
00006388,True,False,False
00006389,True,False,False
00006390,True,False,False
00006391,True,False,False
00006392,True,False,False
00006395,True,False,False
00006396,True,False,False
00006397,True,False,False
00006361,True,False,False
00006362,True,False,False
00006398,True,False,False
00006399,True,False,False
00006363,True,False,False
00006364,True,False,False
00006365,True,False,False
00006366,True,False,False
00006367,True,False,False
00006368,True,False,False
00006369,True,False,False
00006370,True,False,False
00006371,True,False,False
00006372,True,False,False
00006373,True,False,False
00006374,True,False,False
00006375,True,False,False
00006376,True,False,False
00006377,True,False,False
missing1,True,False,False
missing2,True,False,False
